parameter,method,R2,MAE
n_s,Restricted SR,0.9976677591704844,0.0006537539115320717
log_As,Restricted SR,0.9989376976764909,0.002268070320457939
omega_cdm,Restricted SR,0.9952672737964784,0.00044045340098544514
tau,Restricted SR,0.998364518739898,0.00045802782051600574
n_s,Full SR,0.9970961750303785,0.0007148970818615827
log_As,Full SR,0.9994518440348599,0.0015086039242035176
omega_b,Full SR,0.6106514051624063,0.0006033173498980061
omega_cdm,Full SR,0.9945469450370416,0.0005017001784877301
tau,Full SR,0.9955249476310409,0.0007600573239879213
omega_b,Engineered SR,0.8015703195084152,0.0004374628861248229
