Complexity,Loss,Equation
1,0.00031039957,"0.9694734"
5,0.00017555841,"(x89 + 0.97011065) - x82"
7,1.324366e-5,"((x2056 - x769) * -0.03679746) + 0.97008616"
8,1.2984362e-5,"sqrt(((x769 - x2057) * 0.07144052) - -0.9413706)"
9,1.2713384e-5,"sqrt(sqrt(((x769 - x2056) * 0.13449301) - -0.8872956))"
10,4.046726e-6,"sqrt((((x769 * 0.9197643) - x2056) * 0.074580446) - -0.9414185)"
11,4.0034383e-6,"((x750 - x2056) * 0.038251664) + ((x2568 * -0.0043212916) - -0.9701174)"
12,3.4157963e-6,"sqrt((x1692 * 0.008577234) - -0.94116) + ((x2056 - x750) * -0.038492262)"
13,2.8712664e-6,"((x750 - x2056) * 0.038025744) + (((x1993 - x1571) * 0.0024646232) - -0.97016084)"
15,2.871264e-6,"(((x750 - x2056) * 0.038025744) + (((x1993 - x1571) * 0.0024646232) - -0.84932077)) - -0.12084005"
17,2.727764e-6,"((x750 - x2056) * 0.038719095) + (((x2568 * ((x2032 + -0.31832522) - x2056)) * 0.013465525) - -0.97036165)"
