Complexity,Loss,Equation
1,0.00030595774,"0.97045326"
5,0.00016553269,"x187 + (0.97001964 - x177)"
6,0.00011801789,"log(2.6385438 + (x25 - x21))"
7,1.37174475e-5,"((x774 - x2072) * 0.03966267) + 0.9702893"
8,1.354256e-5,"sqrt(((x774 - x2072) * 0.07701651) + 0.9417591)"
9,3.800935e-6,"(0.9702792 - (x768 * -0.03006977)) + (x2034 * -0.033797704)"
11,3.7999469e-6,"((x2034 * -0.033809602) + -284.8658) - ((x768 * -0.0300819) + -285.8361)"
13,2.1074875e-6,"(((-0.03426316 - (x9 * -0.0010992582)) * x2034) + 0.96916) - (x768 * -0.030302782)"
14,1.6494351e-6,"(x2034 * (-0.03426316 + (x1020 * 0.0011083984))) + sqrt(0.93962103 - (x768 * -0.059235327))"
16,1.3780358e-6,"sqrt(((x1020 * (x1020 * 0.0026081123)) + 0.9396686) - (x768 * -0.05903836)) + (x2034 * -0.034352776)"
18,1.3261297e-6,"sqrt((((x1020 - -0.48686954) * (x1020 * 0.002671129)) + 0.9396225) - (x768 * -0.059218064)) + (x2034 * -0.035101246)"
