Complexity,Loss,Equation
1,0.00029731158,"0.97049755"
5,0.00017082154,"(x1 * -0.01130658) + 0.9703519"
7,1.5549496e-5,"((x2040 - x770) * -0.033539657) + 0.9701994"
8,1.4968091e-5,"sqrt((-0.065135896 * (x2051 - x770)) + 0.9415748)"
9,3.593762e-6,"((x770 * 0.030777076) + 0.9702081) + (x2036 * -0.034506608)"
11,2.5508e-6,"(0.9392443 / ((x2040 * 0.035524875) + 0.9693677)) - (x770 * -0.03181468)"
13,2.1229803e-6,"((x2040 * ((x3 * 0.0011337348) + -0.035728525)) + 0.9691811) - (x770 * -0.031956058)"
14,1.6417057e-6,"(x2040 * ((x1027 * 0.0013155728) + -0.035828717)) + sqrt(0.93975186 - (x770 * -0.06217636))"
15,1.4946554e-6,"(x770 * (((x770 - x2040) * -0.0028854036) - -0.032125205)) + ((x2040 * -0.03572941) + 0.9705705)"
16,1.3716533e-6,"(x2040 * ((x2040 * 0.0015355973) + -0.035775445)) + (sqrt(0.2522883 - (x770 * -0.032078072)) - -0.46743634)"
18,1.293173e-6,"((x2040 * -0.035604272) - -0.5179911) + sqrt((((x2040 * x1027) * 0.0015474038) - (x770 * -0.028816832)) + 0.20399523)"
