Complexity,Loss,Equation
1,0.0002964754,"0.97045463"
5,0.00021328624,"(x1018 * -0.009209035) + 0.9704945"
6,0.00020916533,"sqrt((x10 * -0.01834499) - -0.9418584)"
7,1.2400349e-5,"0.970107 - ((x819 + x1082) * -0.043637794)"
8,1.2025444e-5,"sqrt(0.94138706 - ((x1082 + x821) * -0.08477745))"
9,6.4185697e-6,"0.97011733 - ((x819 * -0.042450253) + (x1082 * -0.044979155))"
10,6.280906e-6,"sqrt(0.94142765 - ((x1082 + (x821 * 0.9449978)) * -0.087258644))"
11,3.918591e-6,"0.97014254 - (((x1580 * -0.06595556) + (x1082 + x819)) * -0.04433895)"
12,3.699567e-6,"sqrt(0.9414734 - ((x1576 * 0.005684712) + ((x819 + x1082) * -0.08600447)))"
15,1.8486363e-6,"0.96969086 - (((x1150 * -0.0042029666) + -0.044748023) * ((x819 + x1082) + (x2319 * -0.06877677)))"
16,1.2498597e-6,"sqrt(0.9406483 - (((x121 * 0.008437761) + -0.08726455) * (x819 + (x1082 + (x1580 * -0.06915745)))))"
