Complexity,Loss,Equation
1,0.0072843395,"3.0515656"
4,0.0019348619,"log(x790 + 21.11773)"
5,0.00081494,"(x790 * 0.08104614) + 3.0498717"
6,0.000556981,"log(x1014 + (x809 - -21.18798))"
8,0.0004936232,"log(x809 + ((x1014 * 0.8286999) - -21.167099))"
9,3.567775e-5,"((x794 * 0.08321468) + (x1003 * 0.027253412)) + 3.0496087"
11,3.5677742e-5,"(((x794 * -0.055868298) / -0.6713755) + (x1003 * 0.027253412)) + 3.0496087"
12,2.8696297e-5,"sqrt(((x794 * 0.26528805) + ((x1003 * 0.08698617) + 4.8527174)) * 1.917972)"
13,2.5605641e-5,"(((x1003 * 0.3151664) + x794) * (0.08480392 + (-0.0037379828 * x794))) + 3.0531855"
14,2.2176828e-5,"log((((x1014 - x2466) + (x625 - (-21.176006 - x788))) + x908) + x1080)"
16,1.9184301e-5,"log(((((x1014 + x625) + x1078) - x2466) + x937) - (-20.87109 - x793)) - -0.01466915"
