Complexity,Loss,Equation
1,0.0076152175,"3.0547957"
4,0.0019987063,"log(x794 + 21.150356)"
5,0.00079451187,"3.0504632 - (x795 * -0.081481166)"
6,0.0005797055,"log((x1015 + x821) + 21.150356)"
8,0.00044130516,"log((x1006 + (x825 + x768)) + 21.221592)"
9,5.7038556e-5,"((x1008 * 0.027206065) - -3.049577) + (x801 * 0.0818609)"
10,5.0030314e-5,"sqrt(((x1008 * 0.16643618) - -9.3074665) + (x800 * 0.5005799))"
11,4.1706142e-5,"3.0495129 - ((((x782 + x2000) + x684) + x785) * -0.027692871)"
12,3.547086e-5,"sqrt(9.306984 - ((((x782 + x782) + x2000) + x683) * -0.16936769))"
14,3.0270265e-5,"sqrt(1.0627205 - ((x782 + (x2000 + (x782 + x683))) * -0.057109512)) + 2.0222979"
15,2.9019004e-5,"sqrt(sqrt(1.6643327 - (((x803 + (x2000 + x704)) + x782) * -0.06072722))) * 2.6881113"
17,2.9018958e-5,"sqrt(sqrt(3.319646 - (((x2000 + x704) + (x782 - (-0.30516422 - x803))) * -0.12249182))) * 2.2556343"
