Complexity,Loss,Equation
1,0.0075466023,"3.0480504"
4,0.0019424191,"log(x794 + 21.083551)"
5,0.00074790476,"(x794 * 0.08157992) + 3.0496511"
6,0.0006162349,"log((x799 + x1015) + 21.169025)"
8,0.00040140233,"log(((x1006 + x757) + x840) + 21.231186)"
9,4.8049566e-5,"(x789 * 0.08352264) + ((x1003 * 0.027220404) + 3.0495248)"
11,3.7398037e-5,"((x749 * 0.06432716) + 3.0494084) + ((x1004 + x895) * 0.026604101)"
12,3.1669028e-5,"log((x759 * 2.3380237) + (x886 + (x1006 + 36.989624))) + -0.5573552"
14,3.0380192e-5,"log((x881 * 0.9563159) + (35.821926 + (x1006 + (x759 * 2.2663414)))) + -0.5252977"
15,2.4635117e-5,"((x757 * 0.078138605) + ((x2660 * -0.015618251) + 3.0494983)) + ((x901 + x1006) * 0.028201777)"
16,1.1610765e-5,"log(((((x439 + 35.43399) + x1006) + x2992) + (x740 * 1.8987721)) + x1433) + -0.5143854"
