Complexity,Loss,Equation
1,0.0072644204,"3.0488265"
4,0.001937833,"log(x791 + 21.094858)"
5,0.0007850046,"(x791 * 0.08162458) + 3.0499313"
6,0.0005434958,"log((x1014 + 21.199982) + x811)"
8,0.00039525633,"log(((x799 + x801) + x2003) + 21.226892)"
9,4.747382e-5,"(x802 / 11.951588) + (3.049846 + (x1007 * 0.028210578))"
11,3.6336e-5,"((x802 / 11.930878) + (-2.2244363 / (x1007 + 8.766249))) + 3.3067663"
12,3.136136e-5,"log(x2002 + (72.281746 + ((x801 / 0.16244751) + x1007))) - 1.2271279"
15,2.6908452e-5,"((-0.937888 / (((x2376 * -0.17287536) + x1007) + 5.7185025)) + 3.2189453) + (x802 / 11.343353)"
16,1.8689476e-5,"log((((x1753 + x1007) + x808) + ((x801 / 0.16365609) + 72.28175)) + x2002) - 1.2272532"
