Complexity,Loss,Equation
1,0.00759919,"3.0474093"
4,0.0019399759,"log(x795 - -21.075825)"
5,0.0007496161,"(x790 * 0.08141596) + 3.0495846"
6,0.00073751534,"log((x2928 + x282) - -21.173653)"
8,0.0003854771,"log((x769 + (x2008 + x828)) + 21.219213)"
10,7.4392454e-5,"log((x797 + ((x1008 + x808) * 0.6655466)) - -21.171886)"
11,4.45946e-5,"log(20.734505 + (log(x2008 + 1.8671842) + (x836 + x738)))"
12,4.1335523e-5,"log((x724 + (((x724 + x1932) + x1003) * 0.52884793)) + 21.175365)"
13,3.0124136e-5,"log((log(x2008 + 1.8999761) + ((x828 + x756) * 0.94993526)) + 20.695986)"
15,2.2959039e-5,"log(log(x2008 + 1.9029471) + (((20.689184 - (x1582 * 0.13488424)) + x769) + x828))"
17,2.0758418e-5,"log(((log(x2008 + 1.9282398) + ((x769 - (x1582 * 0.18536189)) + x828)) / 0.96831024) + 20.65968)"
