Complexity,Loss,Equation
1,0.0075892974,"3.0520267"
4,0.002011525,"log(x792 - -21.125319)"
5,0.0007997991,"(x794 * 0.082013436) + 3.050234"
6,0.0007869545,"log(x792 - -12.215142) - -0.5509374"
8,0.0007145983,"log((x2017 / 1.2791106) + (x804 - -21.124561))"
10,2.264338e-5,"log(((x1005 / 3.0525682) + x798) - -11.815031) - -0.5838345"
13,1.9158824e-5,"log((x798 - -11.818538) + (x1005 / sqrt(x1002 + 9.28845))) - -0.5850175"
14,1.1429431e-5,"log((x804 + ((x1005 - (x1589 * 0.2904261)) * 0.30668262)) - -11.00861) - -0.65458405"
16,1.14291e-5,"log((x804 + ((x1005 - ((x1589 + -0.07521917) * 0.2903217)) * 0.30687973)) - -11.008028) - -0.6540233"
18,8.598062e-6,"log(((x1005 - (x2594 + ((x1587 * 0.25931314) - x2550))) * 0.30703875) + (x804 - -11.008947)) - -0.6545488"
