Complexity,Loss,Equation
1,0.0075946795,"3.04866"
4,0.0020117667,"log(x794 + 21.091047)"
5,0.0007983085,"3.0499616 - (x795 * -0.08211004)"
6,0.000772769,"log(x280 + (x2936 - -21.192532))"
8,0.00044179164,"log(((x870 + x2932) + x1002) - -21.22428)"
9,3.530156e-5,"(x1005 * 0.02779039) - ((x797 * -0.08463749) - 3.0496533)"
13,3.299165e-5,"(3.0496373 - (x1347 * -0.014272244)) - ((x1005 * -0.027533235) - (x776 * 0.07501651))"
15,2.9771747e-5,"((3.04663 - ((-0.2581378 - x1955) * 0.011449676)) - (x1005 * -0.027869184)) - (x776 * -0.082485795)"
16,1.914591e-5,"log(((0.2546062 * (x2936 + x1436)) + (((0.5964482 * x1002) + x2936) - -21.18992)) + x880)"
18,1.7836692e-5,"log((((x880 + ((x2936 * 0.24342974) - -21.18537)) + (x1002 * 0.5963136)) + x2936) + (x1436 * 0.2686215))"
