Complexity,Loss,Equation
1,0.0073984875,"3.0465455"
4,0.0019632815,"log(x791 + 21.061958)"
5,0.0007868907,"(x794 / 12.192059) + 3.0489757"
6,0.0007804553,"log(x791 + 12.183508) + 0.5522274"
8,0.00038620285,"log(21.22375 + (x2001 - (x790 / -0.5341874)))"
9,2.911517e-5,"(x2001 * 0.027801145) + (3.0495026 + (x791 / 11.6586075))"
10,1.7384244e-5,"log((x791 + (x2001 * 0.3236895)) + 11.65462) + 0.5974952"
12,1.737685e-5,"log(((x2001 * 0.33508477) + 12.060667) + (x791 / 0.9653939)) + 0.56325847"
14,1.6881391e-5,"log((x791 + (x2001 * 0.33972523)) + (12.083199 - (x690 * -0.040035706))) + 0.5614351"
16,1.6595197e-5,"0.56271166 + log(((x791 / 0.95051354) + 12.067709) + ((x2001 * 0.3359216) - (x1748 * -0.019084534)))"
18,1.0477524e-5,"log((((x2001 * 0.35133925) + (x791 / 0.92526454)) + 12.6221485) - ((x1945 * x1663) * -0.034449544)) + 0.5156297"
