Complexity,Loss,Equation
1,0.007464236,"3.0493126"
4,0.0019556067,"log(x788 + 21.095837)"
5,0.0007797008,"(0.08160412 * x786) + 3.049737"
6,0.0007587075,"log(x795 + 12.195466) + 0.5520799"
8,0.0007569894,"log((x793 + 24.39921) + x793) + -0.14139077"
9,3.9320956e-5,"(x1004 * 0.027400317) + (3.0485585 + (x800 * 0.08439938))"
11,3.811682e-5,"((x1004 * 0.027400317) + 3.0485585) + ((x800 * 0.08439938) - -0.0010974322)"
13,2.4515535e-5,"(((x1004 * 0.027247174) + (x751 * 0.089325175)) + 3.0495753) - (x1992 * -0.020683555)"
15,2.4515526e-5,"(((x1004 * 0.027248098) + 3.0472682) + (x751 * 0.0893251)) - ((x1992 + 0.11153306) * -0.020683566)"
17,1.9029407e-5,"(((x1004 * 0.028208502) + 3.0496027) + (x751 * 0.092998795)) - ((x1992 + (x8 * -0.19185366)) * -0.021944862)"
