Complexity,Loss,Equation
1,0.007538867,"3.0500166"
4,0.0020094735,"log(x793 + 21.09431)"
5,0.000769805,"(x793 * 0.08283672) + 3.0492096"
6,0.00056337396,"log((x793 - -21.190891) + x1013)"
8,0.00036899158,"log(((x791 * 1.8604696) - -21.227194) + x2001)"
9,3.0556195e-5,"((x790 * 0.08565799) + 3.049648) + (x2001 * 0.027689733)"
11,3.0436147e-5,"((x2001 * 0.02767753) + 3.049651) + ((x798 + x783) * 0.042873655)"
12,1.8013747e-5,"log(((0.81763864 * x798) + (x783 - -21.187569)) + (x2001 * 0.59196085))"
14,1.6625547e-5,"log(x783 + ((x798 + ((x2001 - (x1742 * -0.30977726)) * 0.5927364)) + 21.188911))"
15,1.3543742e-5,"(x789 * 0.085631385) + (((x2882 * (-0.0055612586 * x894)) + (x2001 * 0.02767758)) + 3.0501113)"
17,1.3370025e-5,"(((x894 * -0.0034160675) * (x750 - x1982)) + (x2001 * 0.027695399)) + (3.0500522 + (x789 * 0.085629925))"
18,9.779744e-6,"log((x2001 * 0.59343815) + (((x798 * 0.8079444) - (x1995 * (x1603 * -0.063310556))) + (x783 + 21.139816)))"
