Complexity,Loss,Equation
1,0.0072287656,"3.052868"
4,0.0019153991,"log(x790 + 21.152914)"
5,0.0007730919,"3.0506854 - (x791 * -0.081687756)"
6,0.00058444455,"log((x1013 + 21.1518) + x807)"
8,0.00038850732,"log((x760 + x2008) + (x831 + 21.211826))"
9,7.060602e-5,"(x783 * 0.083068796) + ((x1003 * 0.02690725) + 3.049306)"
11,3.4257057e-5,"((x774 * 0.05752554) + ((x1003 + x832) * 0.027159326)) + 3.0494177"
12,2.2707763e-5,"log(((x1003 * 0.57693785) + (x770 + (x820 * 0.78735584))) + 21.179014)"
14,8.521943e-6,"log(((x820 + x697) + ((x1003 * 0.5851549) + (x2339 * -0.2306255))) + 21.17963)"
16,8.2389115e-6,"log(x820 + (((((x2339 * -0.24482685) + x697) + (x1003 * 0.57301253)) * 1.0228226) + 21.180756))"
