Complexity,Loss,Equation
1,7.307001e-5,"0.124614984"
5,2.0838372e-6,"(x1843 * 0.00856604) + 0.12476569"
7,1.997073e-6,"((x742 - x2983) * 0.02275143) + 0.12481824"
8,1.7947814e-6,"log((x1840 * -0.024911068) - -0.29076108) / -9.929193"
9,1.0255166e-6,"(x1373 * 0.0017582108) - ((x1838 * -0.009889119) + -0.12475898)"
10,9.843462e-7,"log((1.1329292 - (x1838 * -0.010257096)) - (x1204 * 0.001455657))"
12,7.626427e-7,"log(0.41738865 - (((x1204 * 0.14185435) - x1838) * -0.026558623)) / -7.0269213"
14,1.969883e-7,"log(1.1324557 - (((x1204 - (x2428 * x1647)) * 0.0014145233) - (0.010506015 * x1838)))"
16,6.43296e-8,"log(((1.132132 - (x1204 * 0.001434028)) - (x1776 * (x1838 * -0.001150797))) - (x1838 * -0.010506562))"
18,6.4035156e-8,"log(((1.1321578 - (x1204 * 0.0014344576)) - ((x1838 * 0.002263074) * (x1776 / -2.007034))) - (x1838 * -0.010495936))"
