Complexity,Loss,Equation
1,0.00021266873,"0.055051148"
5,1.491098e-5,"(x2003 * 0.013935979) + 0.054946963"
6,7.3598258e-6,"log(x2003 + 3.2958102) * 0.047803443"
8,5.615546e-6,"log((x2004 * 9.510296) + 15.240485) * 0.021819998"
9,4.3065734e-6,"(x2001 * 0.014268776) + (0.05496025 - (x7 * 0.0040734177))"
11,4.30652e-6,"((x2001 * 0.014268776) + (5.539561 - (x7 * 0.0040734177))) - 5.4846005"
12,1.8026075e-6,"log((x2004 * 8.033986) + 13.451399) * ((x2039 * -0.0008108551) + 0.022706222)"
14,8.6219706e-7,"((x1405 - x7) * 0.0013905346) + (log((x2004 * 8.071828) + 13.421737) * 0.022799667)"
16,8.5158337e-7,"(((0.6793416 - x1026) + x1405) * 0.0013905244) + (log((x2004 * 8.128768) + 13.380793) * 0.022483857)"
18,7.005391e-7,"((x1936 + ((x1258 * -0.6283208) - x7)) * 0.0015993987) + (log((x2004 * 9.975661) + 16.000427) * 0.021424841)"
