Complexity,Loss,Equation
1,0.00029828417,"0.9701983"
5,0.00022557605,"(x1019 * -0.0085268915) + 0.9701983"
7,0.00010681099,"((x1087 + x823) * 0.029129779) + 0.9701984"
8,0.000106646105,"sqrt(((x1087 + x823) * 0.056589298) + 0.9414827)"
9,0.00010645375,"sqrt(sqrt(((x1087 + x823) * 0.106639214) + 0.8871093))"
11,8.762567e-5,"((x969 * 0.044044584) + ((x1504 + x1087) * 0.025057176)) + 0.9701983"
12,8.7520275e-5,"sqrt((x969 * 0.08634398) + (((x1087 + x1504) * 0.049095985) + 0.94125855))"
13,5.954341e-5,"(((x1837 + x1078) + x1087) * 0.016709728) + ((x959 * 0.03858942) + 0.9701986)"
14,5.860253e-5,"((x1087 + (x1837 + x1078)) * 0.016711721) + sqrt((x959 * 0.075157635) + 0.9427827)"
16,5.85984e-5,"sqrt((x959 * 0.07064559) + 0.8337799) + (((x1078 + (x1837 + x1087)) * 0.016704453) + 0.057899505)"
18,5.811749e-5,"sqrt((x959 * 0.079303116) + (((x1837 + ((x1087 + (x1601 * -0.45713627)) - x2088)) * 0.03073559) + 0.9415717))"
