Complexity,Loss,Equation
1,0.00020831729,"0.054935075"
5,3.1499825e-5,"(x2008 + 4.1313586) * 0.0132971695"
6,2.1565067e-5,"log(x2008 + 3.3432524) * 0.047180146"
7,2.117237e-5,"log(log(x2008 + 5.0881076)) * 0.117261186"
8,1.4126242e-5,"log(x2006 + (x2008 + 4.887565)) * 0.03634171"
9,1.3219227e-5,"log(log((x2008 + x2006) + 6.56487)) * 0.09181249"
10,1.2324041e-5,"log(((x2008 + x2006) * 3.450314) + 11.838144) * 0.023833778"
11,1.2161629e-5,"log(log(((x2008 + x2006) * 1.8744001) + 9.00659)) * 0.07488351"
12,1.0521312e-5,"log((((x2006 + x2008) * 5.5215406) + 17.75506) - x2615) * 0.02060376"
13,7.632597e-6,"((x2609 * -0.0039955266) + 0.089750215) * log(log((x2009 + 6.723614) + x2008))"
16,7.607542e-6,"((0.56877863 / (-5.2709856 / x2536)) + log(((x2008 + x2006) * 4.6012044) + 15.187453)) * 0.021683209"
18,7.407336e-6,"((-0.5514896 / (-5.2703643 / (-0.017546205 - x2615))) + log(((x2008 + x2006) * 4.6447997) + 15.169389)) * 0.02171893"
