Complexity,Loss,Equation
1,0.007510922,"3.0494974"
4,0.0024766854,"log(x782 - -21.098671)"
5,0.0015988505,"(x801 * 0.07688938) + 3.0494869"
6,0.0011880989,"log(x869 + (x2935 - -21.178165))"
8,0.0011614934,"log((x869 - -21.171553) + (x1546 + x958))"
9,0.0010418256,"(((x2994 + x937) + x1868) * 0.0398871) + 3.0494866"
10,0.00076773437,"log((x869 + (x2937 - -21.233229)) + (x2010 / 2.0697982))"
12,0.000580825,"log((((x1925 + x2010) * 0.4613108) + x2893) + (x869 - -21.188622))"
14,0.00048570233,"log((x2875 + ((x2010 + (x1925 + (x999 + x934))) * 0.50191516)) - -21.183468)"
16,0.00048362612,"log((((x934 + ((x999 + x2010) + (x1925 * 1.2177565))) * 0.47064784) - -21.22639) + x2875)"
18,0.00047900618,"log((((x934 + (x999 + (((x1925 * 1.2177565) + -0.09572946) + x2010))) * 0.47064784) - -21.22639) + x2875)"
