Complexity,Loss,Equation
1,0.00029828417,"0.9701983"
5,0.0002511677,"0.9701986 - (x2019 * 0.0068640676)"
6,0.0002473083,"sqrt((x1027 * -0.015293138) - -0.94128454)"
7,0.00021219332,"0.9701983 - ((x2057 - x2984) * 0.010048277)"
8,0.0002094804,"sqrt(((x2074 - x748) * -0.021221248) - -0.94275296)"
9,0.00018141723,"0.9701983 - ((x1022 - (x2961 - x2051)) * 0.010048277)"
10,0.00018048611,"sqrt(((x1022 - (x2961 - x2051)) * -0.0144921485) - -0.9414505)"
11,0.00014615514,"0.9701991 - ((((x2101 + x2082) - x958) - x2903) * 0.011792393)"
13,0.00014469471,"0.9701985 - ((x2886 - ((x2101 + x2082) - (x874 * 1.1759671))) * -0.012050183)"
14,0.00014187049,"sqrt(((x2023 - (x2961 - (x2051 + (x2050 - x675)))) * -0.0144921485) - -0.9414505)"
15,0.000120846955,"0.9701983 - ((((x1249 + ((x2082 - x958) + x2057)) - x2984) - x2900) * 0.010048277)"
17,0.000119241915,"0.96722186 - ((((x1249 + (x2082 - x978)) + x2057) + ((-0.29784042 - x2984) - x2900)) * 0.00999331)"
