Complexity,Loss,Equation
1,0.007510922,"3.0494862"
4,0.0034274952,"log(x2971 + 20.879818)"
5,0.0028788156,"(x2971 * 0.068059534) + 3.0494869"
6,0.0020272562,"log((x2919 + x935) + 21.165356)"
9,0.0017451225,"(((x2817 + x1910) + x2908) * 0.033442523) - -3.049484"
10,0.0016579813,"log(x2824 + (x1916 + (29.92994 + x2910))) + -0.3464719"
11,0.0014820345,"(((x1910 + x2936) + (x863 + x2840)) * 0.02463391) - -3.0494874"
12,0.0014342975,"log((x1890 + (x990 + 34.190952)) + (x889 + x2939)) * 0.86437374"
13,0.0013650468,"((x1872 + ((x935 + (x986 + x765)) + x2980)) * 0.021820182) - -3.049487"
14,0.0012751247,"0.8331661 * log((x2887 + x2939) + ((x889 + 39.035675) + (x990 + x1910)))"
16,0.001219481,"log(x990 + (((x766 + x2912) + (x1910 + 45.26806)) + (x889 + x2865))) * 0.8008585"
18,0.0011389133,"log(((((x2912 + x1910) - x1765) + 50.55251) + (x2865 + x889)) + (x766 + x990)) * 0.778372"
