Complexity,Loss,Equation
1,0.00029828417,"0.9701983"
5,0.00017311897,"(x0 * -0.008845911) + 0.9701627"
7,1.2780857e-5,"0.9701983 - ((x828 - x56) * -0.044291817)"
8,1.2639652e-5,"sqrt(0.94157225 - ((x828 - x56) * -0.085978426))"
9,7.506554e-6,"((x759 * 0.0269868) + 0.97019845) + (x1029 * -0.031183232)"
10,7.378573e-6,"sqrt(0.94157916 - ((x828 * -0.083636284) - (x56 * -0.08815877)))"
12,4.8606785e-6,"sqrt(0.9415772 - (((x828 - x56) * -0.08712216) - (x1580 * -0.0054106894)))"
14,4.860645e-6,"sqrt(0.9420522 - (((x828 - (x56 - -0.0054199784)) * -0.087112576) - (x1580 * -0.0054199784)))"
16,2.1561175e-6,"sqrt(0.94117606 - (((x828 - x56) * (-0.08839748 - (x101 * -0.0086614555))) - (x1580 * -0.005791629)))"
17,2.1320307e-6,"sqrt(sqrt(0.88635415 - (((x828 - x56) * (-0.1665894 - (x52 * -0.017469177))) - (x1580 * -0.011019155))))"
