Complexity,Loss,Equation
1,0.00029828417,"0.9701983"
5,0.00017840124,"(x86 + 0.970198) - x80"
6,9.7324635e-5,"sqrt((x122 + 0.94143677) - x98)"
7,1.05080035e-5,"((x1070 + x832) * 0.043666534) + 0.9701979"
8,1.0340972e-5,"sqrt(((x832 + x1070) * 0.08477301) + 0.9415791)"
9,4.7549547e-6,"((x1070 * 0.04488553) - -0.9701983) + (x833 * 0.042421814)"
11,3.5598496e-6,"(((x833 + x1070) * 0.04421358) + 0.9701983) - (x1584 * 0.0026615309)"
14,3.4356597e-6,"-0.6718882 / ((x1584 * -0.0019591558) + log(((x833 + x1070) * 0.015721047) + 0.5002126))"
15,3.101087e-6,"(-0.0025808676 * (x2993 + (x1581 - x2827))) + (0.9701983 + (0.044077072 * (x1070 + x833)))"
17,1.087528e-6,"((x1070 + x833) * 0.044773713) + ((x1584 * (((x1074 + x818) * -0.004072934) + -0.0027464514)) + 0.97027135)"
