Complexity,Loss,Equation
1,0.00029828417,"0.9701983"
5,0.00017007794,"(-0.011918368 * x1) + 0.9701983"
6,9.255262e-5,"sqrt((0.94166976 - x2039) + x2049)"
7,1.4463784e-5,"((x766 - x2051) * 0.035796892) + 0.9701983"
8,1.4237922e-5,"sqrt(((x766 - x2051) * 0.06952333) + 0.9415752)"
9,3.5985704e-6,"(x767 * 0.030668411) - ((x2036 * 0.034375366) + -0.9701983)"
11,3.317262e-6,"((x748 - x2036) * 0.03461484) + (0.97019833 + (x2910 * -0.0045056967))"
12,3.2476535e-6,"(x2910 * -0.0044745677) + sqrt(((x748 - x2036) * 0.06712935) + 0.9416146)"
13,3.1923441e-6,"((x1695 - 0.002375333) * 0.004476142) + (((x748 - x2036) * 0.034324672) + 0.97020894)"
15,2.1987878e-6,"(((((-0.12582096 - (x2049 - x2036)) * x2910) + x748) - x2036) * 0.034957554) + 0.97067744"
16,1.0647015e-6,"sqrt(0.94124514 - (0.008762364 * x2910)) + (((x2138 * -0.0031447574) + 0.03487546) * (x748 - x2036))"
