Complexity,Loss,Equation
1,0.007510922,"3.0494878"
4,0.0019847325,"log(x796 + 21.09379)"
5,0.0007832284,"(x793 * 0.0820241) + 3.0494854"
6,0.00059343746,"log((x1015 + x812) - -21.183393)"
8,0.0004248502,"log(((x2009 + x841) + x740) + 21.215862)"
9,3.3375145e-5,"(x796 * 0.0842131) + ((x1004 * 0.02753073) - -3.0494866)"
10,2.6655622e-5,"sqrt((x796 * 0.51467687) + ((x1004 * 0.1684296) - -9.306896))"
12,2.0546848e-5,"log(((x796 * 0.24716793) + (x1004 * 0.081028126)) + 2.9327497) + 1.9772881"
16,1.1721016e-5,"log((((x2952 + (x1004 + x1724)) * 0.08228341) + (x796 * 0.24647906)) + 2.9327667) + 1.9772865"
18,1.172099e-5,"log((((((x1004 + x1724) + x2952) * 0.10448785) + 3.7747424) + (x796 * 0.3129917)) - 0.05047783) + 1.7383671"
