Complexity,Loss,Equation
1,0.007510922,"3.0494883"
4,0.001982877,"log(x793 + 21.093721)"
5,0.0007832282,"3.0494869 - (x793 * -0.08201935)"
6,0.00059328857,"log(x1015 + (x811 + 21.183624))"
8,0.0005247337,"log((x1015 * 0.8163383) + (x804 + 21.157944))"
9,3.356148e-5,"3.0496223 - ((x1004 + (x797 / 0.3280417)) * -0.027613495)"
11,3.3438333e-5,"3.0494874 - (((x1004 + x793) + (x797 / 0.4856392)) * -0.027530082)"
12,2.6892236e-5,"sqrt(9.306872 - (((x1004 + (x793 + x803)) + x793) * -0.1713958))"
14,2.0821033e-5,"sqrt(0.9047846 - (((x797 + x797) + (x793 + x1004)) * -0.053218644)) - -2.102231"
16,2.0820979e-5,"sqrt(0.90293485 - ((x1004 + ((x793 + x797) + (x797 + 0.19176452))) * -0.053464174)) - -2.0978084"
18,2.0629368e-5,"sqrt(0.9468628 - (((((x797 * 1.0643799) + x1004) + 0.6714282) + (x793 + x797)) * -0.054438405)) - -2.0615993"
