Complexity,Loss,Equation
1,0.00020831729,"0.054935075"
5,1.3687508e-5,"0.05493564 - (x2002 * -0.013950979)"
6,7.615718e-6,"log(x2003 + 3.3028908) * 0.047753286"
8,6.6198104e-6,"(log(x2003 + 2.4926298) * 0.035103302) + 0.025722459"
9,6.4266337e-6,"(log(sqrt(x2003 + 2.158258)) * 0.059467867) + 0.035362896"
10,3.5064409e-6,"sqrt((-2.0126798 - x2003) * (x2102 + -15.767174)) * 0.010053415"
12,1.1706529e-6,"sqrt(((x1015 / 0.16210131) + -64.757225) * (-1.862978 - x2003)) * 0.005225061"
14,6.974662e-7,"sqrt(((-64.58255 - x1926) + (x1015 / 0.1457953)) * (-1.8387121 - x2003)) * 0.005275673"
16,4.991276e-7,"0.005275673 * sqrt(((x1015 / 0.1457953) + ((-64.58255 - x1387) - x2171)) * (-1.8387121 - x2003))"
18,3.9478917e-7,"sqrt(((-65.59432 - x1910) + (((x1015 / 0.15089758) + x2003) - x1385)) * (-1.804857 - x2003)) * 0.0053111613"
