Complexity,Loss,Equation
1,0.00020831729,"0.054935914"
5,1.5204267e-5,"(x2003 * 0.013896289) + 0.054935295"
6,7.615716e-6,"log(x2003 + 3.302768) * 0.047754433"
7,7.3982355e-6,"log(log(x2003 + 5.0497475)) * 0.11861926"
8,6.4265623e-6,"(log(x2003 + 2.1674974) * 0.029887062) + 0.035102677"
9,6.4062065e-6,"0.04033344 - (log(log(x2003 + 3.6903584)) * -0.06731635)"
10,3.956445e-6,"log(x2003 + ((x1033 / -6.307327) + 3.4125192)) * 0.046645965"
12,1.2058276e-6,"((x1040 * -0.0022895893) + (log(x2003 + 2.2344534) * 0.030582117)) + 0.033489805"
16,7.1282847e-7,"((log((x1101 * -0.073295474) + (x2003 + 2.123302)) + (x1032 * -0.11805707)) * 0.02892285) + 0.03640704"
18,6.88871e-7,"(log((((x2111 / 1.231579) * 0.1170302) + x2003) + 2.1293635) * 0.02911344) + ((x1032 * -0.0038167546) + 0.036181506)"
