Complexity,Loss,Equation
1,0.00029828417,"0.9701983"
5,9.522524e-5,"(x164 + 0.970198) - x149"
6,7.431203e-5,"sqrt(x161 + (0.941439 - x130))"
7,2.417237e-5,"log(log((x800 + 14.004437) - x17))"
8,1.9059418e-5,"log((12.358941 - x25) + x807) * 0.38600203"
9,1.1719868e-5,"log(log(x817 + ((12.250974 - x21) * 1.143347)))"
10,7.70633e-6,"log((x807 * 0.89174235) + (12.336066 - x21)) * 0.38631222"
12,7.239077e-6,"(log((x807 * 0.89450204) + (14.686973 - x21)) * 0.4667149) - 0.2835291"
13,6.2788754e-6,"log(log(13.316346 + (x817 - x21))) * (1.020381 - (x1061 * -0.0043527465))"
15,5.834998e-6,"log(log((x817 + 12.856518) - x21)) * (1.035259 - ((x1054 - x2182) * -0.0022245084))"
16,5.2492815e-6,"sqrt(sqrt(((sqrt((x53 - x2258) + 6.927233) + x474) - 0.65493387) - x1257)) + -0.21470697"
18,3.6097244e-6,"sqrt(sqrt(x476 + ((sqrt((x1076 * -0.9585044) + (6.909296 - x2258)) - 0.6156608) - x1257))) + -0.2200845"
