Complexity,Loss,Equation
1,0.0074963355,"3.0503535"
4,0.0019884687,"log(x792 - -21.112196)"
5,0.00080307305,"3.0503535 - (x793 * -0.081815735)"
6,0.000785793,"log((x305 - -21.186945) + x2933)"
8,0.00038537433,"log((1.8051301 * (11.74255 + x800)) + x1005)"
9,4.071732e-5,"(((x1005 * 0.3293731) + x793) * 0.08412073) - -3.050354"
10,2.5914489e-5,"log((((x1005 * 0.33524048) + 11.943808) + x800) / 0.56336)"
12,2.5914409e-5,"log((((x1005 + -6.0395552e-5) * 0.33524048) + (x800 + 11.943808)) / 0.5633611)"
14,1.6016507e-5,"log(((x1418 * 0.043781783) + ((x793 + (x1005 * 0.33059728)) - -11.73632)) * 1.8064392)"
16,1.5247439e-5,"log((x793 - (-11.309414 - ((x1005 + ((x1425 * 0.15751263) + 0.6651449)) * 0.3232334))) * 1.8397307)"
18,1.52006905e-5,"log((((x1005 * 0.3314414) + ((x1418 * 0.05330003) + x793)) - -11.741741) * ((x755 * 0.0023848077) + 1.8051945))"
