Complexity,Loss,Equation
1,0.0075365,"3.049513"
4,0.0019907446,"log(x792 - -21.093685)"
5,0.00077936426,"(x792 * 0.08220666) + 3.0495062"
6,0.00059222634,"log(x1014 + (x814 - -21.180178))"
8,0.0005205268,"log(x1013 + ((x810 / 0.8460938) - -21.204517))"
9,6.560023e-5,"((x792 * 0.0830944) + (x2000 * 0.026731266)) + 3.0495062"
10,4.442948e-5,"log((x805 + (x1013 - -21.179138)) + (x805 - x17))"
12,4.258994e-5,"log(((x805 - x17) + (x1013 - -20.87882)) + x805) + 0.014483554"
13,3.4778193e-5,"((x2000 * 0.02869591) + (x130 * -0.013504709)) + (3.0495062 + (x792 * 0.095313214))"
14,1.7036278e-5,"log((((x1013 + x845) - x2456) - (-21.183266 - x657)) + (x970 - x71))"
16,1.0796539e-5,"log((((x845 - x2456) * 1.128517) + ((x966 - x71) - (-21.183142 - x657))) + x1013)"
