Complexity,Loss,Equation
1,0.00020569768,"0.05509442"
5,1.5260486e-5,"(x2008 + 3.992403) * 0.013799913"
6,9.120167e-6,"log(x2008 + 3.3534567) * 0.047250737"
7,9.116853e-6,"log(log(x2008 + 5.1433873)) * 0.115928866"
8,7.840176e-6,"log((x2008 + x2004) + 5.038831) * 0.035778586"
9,2.2167828e-6,"(x1003 + 3.692924) * (0.13387862 / (x10 - -9.063826))"
10,2.131795e-6,"(x1003 + 3.808756) * (0.025069151 / log(x1020 - -5.795731))"
11,1.775184e-6,"(x1003 + 3.6554966) * (0.0813202 / (5.408929 - (x4 / -1.737362)))"
13,2.9113278e-7,"0.10069326 * ((x1003 + 3.6347198) / (6.6777635 - ((x270 * 0.32900456) - x10)))"
15,1.3370799e-7,"((x1003 + 3.704161) / (5.4540157 - ((x94 * 0.37853825) + (-0.7602628 - x10)))) * 0.09207386"
