Complexity,Loss,Equation
1,0.00029828417,"0.9701983"
5,0.0001057815,"(x168 + 0.97019917) - x153"
6,7.6593766e-5,"log(x167 + (2.6387064 - x124))"
7,1.2716959e-5,"((x829 - x59) * 0.04510915) + 0.9701983"
8,1.2577957e-5,"sqrt(((x829 - x59) * 0.08755376) + 0.9415718)"
9,7.5251282e-6,"(((x829 * 0.95009553) - x59) * 0.046393402) + 0.97008526"
11,6.0595466e-6,"((x476 * -0.002648274) + 0.9701976) + ((x56 - x827) * -0.045261264)"
12,6.019913e-6,"(x477 * -0.0026224938) + sqrt(((x56 - x827) * -0.087796114) + 0.9415905)"
15,3.463089e-6,"(((-0.045904994 - (x174 * -0.0043402654)) * (x56 - x827)) + 0.97008234) + (x484 * -0.0027738418)"
17,3.4630887e-6,"(((-0.045904968 - ((x174 / 1.4829034) * -0.006436359)) * (x56 - x827)) + (x484 * -0.0027739229)) + 0.97008234"
