Complexity,Loss,Equation
1,0.00029828417,"0.97019833"
5,0.00018796856,"(x5 * -0.010503125) + 0.9701983"
7,1.5844511e-5,"((x473 - x746) * 0.106084675) - -0.97019863"
8,1.5750451e-5,"sqrt(((x473 - x746) * 0.20586973) - -0.9415737)"
9,1.3534629e-5,"((x473 * 0.10532594) - (x746 * 0.106850564)) - -0.97019833"
11,6.9450552e-6,"((((x473 - x437) + x474) - x746) * 0.108463794) - -0.9701983"
12,6.8269046e-6,"sqrt(((((x473 + x474) - x746) - x437) * 0.2105357) + 0.941579)"
13,4.4395492e-6,"(((((x473 * 0.985468) + x474) - x437) - x746) * 0.10928781) - -0.9701983"
15,4.4067765e-6,"(((x474 + (((x473 * 0.9853316) - x746) * 0.98412186)) - x437) * 0.11105048) - -0.97018987"
16,4.328714e-6,"sqrt((((x474 + (((x437 * 1.0121677) - x473) / -0.88070273)) - x746) * 0.2124058) + 0.9415877)"
