Complexity,Loss,Equation
1,0.007510922,"3.0494876"
4,0.0022238428,"log(x1199 - -21.163406)"
5,0.0011786544,"(x1199 * 0.07957389) + 3.049489"
6,0.001052133,"log((x1159 + x461) - -21.209063)"
8,0.0007668351,"log((x1169 + (x475 - -21.22208)) + x1008)"
9,0.0005717004,"((x1010 * 0.024976894) + 3.0494869) + (x1199 / 11.949506)"
10,0.0003535728,"log(x1166 + ((x463 - -21.202536) + (x1008 * 0.57136095)))"
12,0.0001617958,"log((x1003 + (x1288 + x1167)) - ((x1 - x1167) + -21.217524))"
14,5.7259647e-5,"log((x1167 + ((x1003 + x1278) * 0.83354706)) - (x1 + (-21.18578 - x1167)))"
16,5.4567176e-5,"log(x1167 + (((x1279 + x1003) * 0.82387865) - (((x1 - x1167) * 0.9385873) + -21.182697)))"
18,5.4566208e-5,"log((x1167 + (((x1003 + x1279) * 0.8233965) + -0.0016163866)) - (((x1 - x1167) * 0.93846816) + -21.18405))"
