Complexity,Loss,Equation
1,0.00020831729,"0.054935075"
5,1.5311038e-5,"(x2008 * 0.013892663) + 0.054935664"
7,1.5204267e-5,"((x2003 * 0.13897872) + 0.54941) * 0.09999025"
8,8.294485e-6,"sqrt((x2003 * 0.24348317) + 0.48235103) * 0.08167773"
9,4.826061e-6,"(((x2001 / 0.30278233) - x16) * 0.004171893) + 0.054517403"
11,4.6022155e-6,"(((x2001 / 0.28766137) + (0.5891375 - x16)) * 0.003992043) + 0.052583918"
12,1.9472666e-6,"sqrt((x2008 * 0.2909267) + 0.5929026) * ((x1036 * -0.0035324947) + 0.073427945)"
14,1.3993586e-6,"(sqrt((x2008 * 0.379525) + 0.625021) * ((x1036 * -0.0034760844) + 0.056422144)) + 0.0124997785"
16,1.1332985e-6,"((x2023 * -0.0026496535) + 0.06623466) * (sqrt((x2008 * 0.3610245) + 0.7310978) + (x1214 * -0.018243857))"
18,1.0846412e-6,"(((x1036 * -0.0025289627) + 0.05526882) * sqrt((x2008 * 0.4024691) + 0.67654884)) + ((x2270 * -0.00089081423) + 0.011600745)"
