Complexity,Loss,Equation
1,0.007510922,"3.049503"
4,0.0019893327,"log(x786 + 21.09364)"
5,0.00078327156,"(x792 * 0.08202195) + 3.0494885"
6,0.0005822206,"log((x812 + 21.177143) + x1013)"
8,0.0003865323,"log((x2001 + 21.217833) + (x792 * 1.8719642))"
9,3.065012e-5,"((x2001 * 0.027676092) + 3.0494869) + (x792 * 0.08567512)"
10,2.4170666e-5,"sqrt((x2001 * 0.16924635) + ((x792 * 0.52361375) + 9.306914))"
12,1.8572151e-5,"log((((x792 * 0.36408162) + (x2001 * 0.1178158)) + 4.2468576) * 4.988121)"
14,1.8572113e-5,"log(((x792 * 0.36413047) + (4.2484565 + ((-0.010292408 + x2001) * 0.117817454))) * 4.9876304)"
16,1.7341756e-5,"log(((x792 * 0.37223312) + (4.247029 + (x2001 * 0.118753135))) * ((x2714 * -0.01038298) + 4.9885798))"
18,1.5042415e-5,"log((x742 * 0.10551922) + ((x855 + ((x855 * -0.9477707) - -1.7543596)) + (x2001 * 0.04884483))) + 2.4911315"
