Complexity,Loss,Equation
1,0.00029828417,"0.9701983"
5,0.00017587602,"(0.9874527 ^ x2) + -0.02982127"
6,0.00017383277,"(cos(-0.15064135) ^ x2) + -0.02982127"
7,7.788956e-5,"cos(exp((x2110 + -1.5914776) - x789))"
8,2.7565258e-5,"cos((1.2959582 + (x2110 - x789)) / 5.4928684)"
9,1.830257e-5,"sqrt(cos(((x773 - x2080) * 0.25250384) - 0.32803908))"
10,1.4926784e-5,"sqrt(cos(cos(-1.2323102 - (0.24737038 * (x774 - x2071)))))"
11,1.4254055e-5,"sqrt(sqrt(cos(cos(((x773 - x2071) * 0.36734036) - -1.0852927))))"
12,8.793594e-6,"sqrt(cos(cos(((x774 * 0.9260077) - x2071) - -0.66750443)) ^ 0.17812526)"
13,8.103941e-6,"sqrt(cos(cos(sin((0.9247784 * x774) - x2071) - -0.6679442)) ^ 0.17861032)"
14,3.973272e-6,"sqrt(cos(cos(-0.7306443 - ((x769 - (x2049 * 1.0907243)) * 0.66364676))) ^ 0.1958794)"
18,3.9710535e-6,"sqrt(cos(cos(-0.7082272 - (((x769 - (x2049 * 1.0826254)) * -0.61768144) / -0.9707051))) ^ 0.20472604) - -0.0025077607"
19,3.5100581e-6,"sqrt(sqrt(cos(cos(x779 - ((x2071 * 1.0565394) - (((x2975 - x2045) * -0.22009057) - -0.736848)))) ^ 0.39541298))"
20,2.565187e-6,"sqrt(cos(cos(-0.7531847 - ((x769 - (x2056 * 1.0923141)) * cos(cos((2.2641754 - x2043) * -0.21381222))))) ^ 0.2075355)"
