Complexity,Loss,Equation
1,7.516561e-5,"0.12480983"
5,2.198343e-6,"(x1844 * 0.008542155) + 0.124809764"
6,1.9489214e-6,"exp((x1844 * 0.06908239) + -2.0833983)"
7,1.942919e-6,"exp(sin(x1844 * 0.06919686) + -2.0834048)"
8,1.7540043e-6,"sin(1.4581766 / (x2688 + (11.707334 - x2929)))"
9,1.752433e-6,"(2.208202 / (x2688 - (x2929 + -14.416503))) + -0.028840607"
11,1.2553242e-6,"0.124514006 + (0.1174941 / ((-10.957725 - x2688) / (x2688 - x2929)))"
12,1.2552835e-6,"0.124514006 + sin(0.1174941 / ((-10.957725 - x2688) / (x2688 - x2929)))"
13,1.0266416e-6,"((x1192 * -0.001098486) + 0.12480978) + (0.13364284 / (-11.982536 / (x2688 - x2929)))"
14,1.0265517e-6,"((x1192 * -0.0010986937) + 0.124809764) + sin(0.13529247 / (-12.129416 / (x2688 - x2929)))"
15,8.414191e-7,"0.12480978 + ((0.007771146 / (-0.83742076 / (x2688 - x2929))) + (0.0022342869 * (x2170 - x2732)))"
16,8.413481e-7,"sin(((x2170 - x2732) * 0.0022343108) + (0.012075599 / (-1.3012367 / (x2688 - x2929)))) + 0.12480977"
17,6.158296e-7,"((-0.005763368 / ((0.6175618 / (x2688 - x2929)) + 0.048897818)) + 0.12432939) + ((x2731 - x2170) * -0.00218348)"
18,1.4044761e-7,"(((x2408 + cos(x1496)) - x2155) * -0.0021599971) + ((0.12328943 / (-12.77502 / (x2688 - x2929))) + 0.12608573)"
19,2.5797094e-8,"((x2449 - x2170) * -0.0022787277) + (0.12431783 + (0.01633949 / (((x2704 * -0.21866706) + -1.77825) / (x2688 - x2929))))"
22,2.3064185e-8,"exp((0.011895685 / ((((x2703 - 0.40059888) * -0.1586097) + -1.3588183) / (x2688 - x2929))) + ((x2449 - x2170) * -0.0022788735)) + -0.87571"
23,2.2773616e-8,"exp(((x2449 - x2170) * -0.0022721337) + (0.011911119 / ((sin((x2703 - 0.40059888) * -0.15928274) + -1.3588183) / (x2688 - x2929)))) + -0.87570566"
