Complexity,Loss,Equation
1,0.00020831729,"0.054935075"
5,1.5204267e-5,"0.05493562 - (x2003 * -0.013896739)"
6,1.4092519e-5,"0.056243416 - (sin(x2003) * -0.019460531)"
7,1.40821185e-5,"cos(1.514516 - (sin(x2003) * 0.019493759))"
8,1.0686934e-5,"sin(1.900247 - (x2003 * 0.045454558)) + -0.8902837"
9,2.7328072e-6,"(0.024244083 - (x1008 * 0.003577664)) * (x2007 + 2.4079616)"
10,2.7224323e-6,"sin((x2007 + 2.4079618) * (0.024255635 - (x1008 * 0.003570672)))"
11,2.7051806e-6,"0.004846684 - ((x2007 + 2.2515557) * ((x1008 * 0.0036132522) - 0.023792936))"
12,2.696236e-6,"sin(0.004814579 - (((x1008 * 0.00361113) - 0.023816995) * (x2007 + 2.2515557)))"
13,1.819014e-6,"(x1008 * -0.008920182) + (0.05866514 - (x2007 * ((x2007 * 0.0037295239) - 0.024901817)))"
14,1.8140346e-6,"(x1008 * -0.008935498) + sin(0.058699068 - (((x2007 * 0.0037193212) - 0.024950417) * x2007))"
15,1.8092235e-6,"sin(sin(0.058729503 - (x2007 * ((x2007 * 0.0037084343) - 0.02499699)))) + (x1008 * -0.0089466525)"
16,1.8042987e-6,"(x1008 * -0.008896968) + sin(sin(sin(0.058770824 - (((x2007 * 0.00370745) - 0.025001481) * x2007))))"
17,8.225862e-7,"((((x2322 - (x868 - x2034)) * 0.122484505) - x2007) * ((x1008 * 0.0032132454) - 0.015613672)) + 0.057918314"
18,8.2244253e-7,"sin(((((x2322 - (x868 - x2034)) * 0.122484505) - x2007) * ((x1008 * 0.0032132454) - 0.015613672)) + 0.057918314)"
19,8.172566e-7,"sin(sin((((x1008 * 0.0031985843) - 0.015648454) * (((x2322 - (x868 - x2034)) * 0.1242699) - x2007)) + 0.057967253))"
20,8.121986e-7,"sin(sin(sin((((x1008 * 0.003187606) - 0.01568024) * (((x2328 - (x868 - x2034)) * 0.1265625) - x2007)) + 0.05799064)))"
21,8.097435e-7,"sin(sin(sin(sin((((x1008 * 0.003187606) - 0.01568024) * (((x2328 - (x868 - x2034)) * 0.1265625) - x2007)) + 0.058023192))))"
