parameter,seed,r2_test,mae_test
n_s,best_loaded,0.9976677591704844,0.0006537539115320717
log_As,0,0.9986155829868877,0.002525432659209039
log_As,1,0.9989376976764909,0.002268070320457939
log_As,2,0.9967572189941684,0.0038432739327235
omega_cdm,0,0.9866154996865018,0.0007782556286002504
omega_cdm,1,0.9848180128685888,0.0008326991611087462
omega_cdm,2,0.9952672737964784,0.00044045340098544514
tau,0,0.9974759797599783,0.000582366688058505
tau,1,0.998364518739898,0.00045802782051600574
tau,2,0.9960317996636048,0.0007360091901708318
