ell_max,parameter,R2,MAE
200,n_s,0.9624249016574774,0.002456067059384814
200,log_As,0.982185551369862,0.009188213234259552
200,omega_cdm,0.987117291636052,0.000726127424008559
200,tau,0.9954394577303464,0.0008031346386247401
500,n_s,0.9858558830388081,0.0016572020126648006
500,log_As,0.99186408423546,0.006611211739731431
500,omega_cdm,0.9985177527934008,0.0002639730658711418
500,tau,0.995304125960764,0.0007683274220570567
1000,n_s,0.9874395873650339,0.001529864026639251
1000,log_As,0.9974416720802601,0.003478829085202537
1000,omega_cdm,0.9878315912936714,0.0007146957697527263
1000,tau,0.9927123076406089,0.001026004779041855
