feature_set,parameter,R2,MAE
TT_only,n_s,0.9877896468538908,0.0015162283232774574
TT_only,log_As,0.8908580530570002,0.023917237461848536
TT_only,omega_cdm,0.9956523783303792,0.00047084054566307694
TT_only,tau,0.9159238034469817,0.003463623761468124
TT_TE,n_s,0.9866321900681216,0.0015836900323974161
TT_TE,log_As,0.9971011391254427,0.0035341935416832284
TT_TE,omega_cdm,0.9889190750388108,0.0007029954114689054
TT_TE,tau,0.9821494206615319,0.0015636809453826444
TT_EE,n_s,0.9875491467888113,0.0015391567634109953
TT_EE,log_As,0.9964945437731098,0.004231284271088253
TT_EE,omega_cdm,0.9958998497885624,0.00043543371634804944
TT_EE,tau,0.9962133219407368,0.0007210571342958666
TT_TE_EE,n_s,0.9914897500688371,0.0012559628550891573
TT_TE_EE,log_As,0.9974548301881161,0.0035629909297794716
TT_TE_EE,omega_cdm,0.9975293031765562,0.0003372089576750539
TT_TE_EE,tau,0.9984248648896703,0.00044753709873269457
