operator_set,parameter,R2,MAE,complexity
linear_only,n_s,0.7092272031957678,0.007527260902475471,5
linear_only,log_As,0.4984385357843766,0.04956292048364743,5
linear_only,omega_cdm,0.4325236778621412,0.005185652827042285,5
linear_only,tau,-0.000498934387443084,0.012384447748091453,9
restricted,n_s,0.9988039574189777,0.00046830841151477507,17
restricted,log_As,0.9972240230211066,0.0034415528553608777,12
restricted,omega_cdm,0.9901679130428954,0.0006384776339603979,13
restricted,tau,0.990970783414304,0.001086992824066085,15
full,n_s,0.9919891022431824,0.0012499119347863074,20
full,log_As,0.998171885428262,0.002853663955744512,19
full,omega_cdm,0.9996381285053729,0.00012282104972474543,19
full,tau,0.9961478778570092,0.0006496812368336286,17
