model,parameter,R2,MAE
RandomForest,n_s,0.9683235207702751,0.002509955114312112
RandomForest,log_As,0.9957498192608811,0.0043514128561072864
RandomForest,omega_b,0.9980737180023471,3.701800599028217e-05
RandomForest,omega_cdm,0.9991088680752167,0.000196376737619416
RandomForest,tau,0.9965489415686994,0.0006692673767138542
MLP,n_s,0.994270284627131,0.0010495300654715237
MLP,log_As,0.9980215443398228,0.002956718570271061
MLP,omega_b,0.9975931564309262,3.9199309223260274e-05
MLP,omega_cdm,0.9947124944006349,0.0005157151412317386
MLP,tau,0.9935345301146448,0.0008614324784143962
