complexity,loss,equation,score,sympy_format,lambda_format
1,0.007510922,3.0494807,0.0,3.04948070000000,PySRFunction(X=>3.04948070000000)
4,0.001983784,log(x795 - -21.09334),0.44378403197096067,log(x795 + 21.09334),PySRFunction(X=>log(x795 + 21.09334))
5,0.0007832284,(x793 * 0.08202437) + 3.0494869,0.9293370589000159,0.08202437*x793 + 3.0494869,PySRFunction(X=>0.08202437*x793 + 3.0494869)
6,0.0005793874,log(x805 + (x1013 - -21.17793)),0.3014530135858472,log(x1013 + x805 + 21.17793),PySRFunction(X=>log(x1013 + x805 + 21.17793))
8,0.00038532034,log(((x754 + x2002) - -21.223581) + x823),0.20394814909591613,log(x2002 + x754 + x823 + 21.223581),PySRFunction(X=>log(x2002 + x754 + x823 + 21.223581))
9,3.5244368e-05,(x797 * 0.08461468) + ((x1005 * 0.027574517) - -3.0494869),2.391769296828948,0.027574517*x1005 + 0.08461468*x797 + 3.0494869,PySRFunction(X=>0.027574517*x1005 + 0.08461468*x797 + 3.0494869)
10,2.8512643e-05,sqrt(((x1005 * 0.16868833) + 9.3069) + (x797 * 0.51713204)),0.21195814050148193,sqrt(0.16868833*x1005 + 0.51713204*x797 + 9.3069),PySRFunction(X=>sqrt(0.16868833*x1005 + 0.51713204*x797 + 9.3069))
12,2.3595216e-05,log(((x797 * 0.36553335) + ((x1005 * 0.11481469) - -4.2981305)) * 4.9303184),0.09465181166187313,log(0.566072978697296*x1005 + 1.80219580131864*x797 + 21.1911518897512),PySRFunction(X=>log(0.566072978697296*x1005 + 1.80219580131864*x797 + 21.1911518897512))
14,2.2367272e-05,log((((x1005 * 0.10636532) + (x797 * 0.3253401)) - -3.841064) * 6.711216) - 0.19625923,0.026722580295786225,log(0.71384063742912*x1005 + 2.1834276845616*x797 + 25.778210173824) - 0.19625923,PySRFunction(X=>log(0.71384063742912*x1005 + 2.1834276845616*x797 + 25.778210173824) - 0.19625923)
16,7.706497e-06,log(x812 + (((x754 + ((x1006 + (x1570 + x1008)) * -0.20393687)) + x1005) + 21.183264)),0.5327675398519859,log(x1005 - 0.20393687*x1006 - 0.20393687*x1008 - 0.20393687*x1570 + x754 + x812 + 21.183264),PySRFunction(X=>log(x1005 - 0.20393687*x1006 - 0.20393687*x1008 - 0.20393687*x1570 + x754 + x812 + 21.183264))
18,7.676001e-06,log((((x754 + (-0.20518139 * ((x1008 + x1570) + x1006))) + 21.125626) + x812) + x1005) - -0.0027510212,0.001982515450578031,log(x1005 - 0.20518139*x1006 - 0.20518139*x1008 - 0.20518139*x1570 + x754 + x812 + 21.125626) + 0.0027510212,PySRFunction(X=>log(x1005 - 0.20518139*x1006 - 0.20518139*x1008 - 0.20518139*x1570 + x754 + x812 + 21.125626) + 0.0027510212)
20,6.866032e-06,log(x812 + (((x1005 + 21.196545) + x754) + (((x1013 * -0.006904483) + -0.20299771) * (x1006 + (x1008 + x1570))))),0.055756176375163134,log(x1005 + x754 + x812 + (-0.006904483*x1013 - 0.20299771)*(x1006 + x1008 + x1570) + 21.196545),PySRFunction(X=>log(x1005 + x754 + x812 + (-0.006904483*x1013 - 0.20299771)*(x1006 + x1008 + x1570) + 21.196545))
