complexity,loss,equation,score,sympy_format,lambda_format
1,0.00020831729,0.054935914,0.0,0.0549359140000000,PySRFunction(X=>0.0549359140000000)
5,1.5204267e-05,(x2003 + 3.9531012) * 0.0138968285,0.6543715594905257,0.0138968285*x2003 + 0.0549355694195442,PySRFunction(X=>0.0138968285*x2003 + 0.0549355694195442)
6,7.6157185e-06,log(x2003 + 3.30292) * 0.04775298,0.6913617769946191,0.04775298*log(x2003 + 3.30292),PySRFunction(X=>0.04775298*log(x2003 + 3.30292))
7,7.398245e-06,log(log(x2003 + 5.0499625)) * 0.11861283,0.028971525225732285,0.11861283*log(log(x2003 + 5.0499625)),PySRFunction(X=>0.11861283*log(log(x2003 + 5.0499625)))
9,5.7826815e-06,((x2020 * -0.0007735446) - -0.014070963) * (x2008 + 3.9035804),0.12318765374082866,(0.014070963 - 0.0007735446*x2020)*(x2008 + 3.9035804),PySRFunction(X=>(0.014070963 - 0.0007735446*x2020)*(x2008 + 3.9035804))
10,1.8036361e-06,((x1041 * -0.0019604468) + 0.039853543) * sqrt(x2008 + 2.0211346),1.165062819549921,(0.039853543 - 0.0019604468*x1041)*sqrt(x2008 + 2.0211346),PySRFunction(X=>(0.039853543 - 0.0019604468*x1041)*sqrt(x2008 + 2.0211346))
12,1.2727116e-06,(sqrt(x2008 + 1.5035096) * ((x1039 * -0.0022394985) + 0.032636967)) + 0.017374124,0.17432747021681916,(0.032636967 - 0.0022394985*x1039)*sqrt(x2008 + 1.5035096) + 0.017374124,PySRFunction(X=>(0.032636967 - 0.0022394985*x1039)*sqrt(x2008 + 1.5035096) + 0.017374124)
14,1.2725493e-06,(((x1039 * -0.0022389486) + 0.032623176) * sqrt((x2008 * 0.9995835) + 1.5029112)) + 0.01739534,6.376556533755665e-05,(0.032623176 - 0.0022389486*x1039)*sqrt(0.9995835*x2008 + 1.5029112) + 0.01739534,PySRFunction(X=>(0.032623176 - 0.0022389486*x1039)*sqrt(0.9995835*x2008 + 1.5029112) + 0.01739534)
16,5.922939e-07,(((x1089 * 0.0036848132) + (0.032840595 + (x1918 * 0.0023103948))) * sqrt(x2008 + 1.5074694)) - -0.017093388,0.382387262955989,sqrt(x2008 + 1.5074694)*(0.0036848132*x1089 + 0.0023103948*x1918 + 0.032840595) + 0.017093388,PySRFunction(X=>sqrt(x2008 + 1.5074694)*(0.0036848132*x1089 + 0.0023103948*x1918 + 0.032840595) + 0.017093388)
18,3.3882665e-07,0.014767303 - (((((x788 + x1393) + (x1108 * 2.1543493)) * -0.0017324582) + -0.033914566) * sqrt(x2008 + 1.5720251)),0.2792571723670418,-sqrt(x2008 + 1.5720251)*(-0.00373232011044926*x1108 - 0.0017324582*x1393 - 0.0017324582*x788 - 0.033914566) + 0.014767303,PySRFunction(X=>-sqrt(x2008 + 1.5720251)*(-0.00373232011044926*x1108 - 0.0017324582*x1393 - 0.0017324582*x788 - 0.033914566) + 0.014767303)
