parameter,noise_scale,setting,R2,MAE,invalid_fraction,n_valid,n_total
n_s,0.25,clean_train_noisy_test,0.39462648901974284,0.011134273926842271,0.0,400,400
n_s,0.25,noisy_train_noisy_test,0.7511904743009814,0.006995102718304525,0.0,400,400
log_As,0.25,clean_train_noisy_test,0.9685045463183237,0.012176955577685038,0.0,400,400
log_As,0.25,noisy_train_noisy_test,0.9813176757621715,0.00949020862121566,0.0,400,400
omega_cdm,0.25,clean_train_noisy_test,0.9926198735048071,0.0005722122185237337,0.0,400,400
omega_cdm,0.25,noisy_train_noisy_test,0.9979756315566697,0.0002934932499650928,0.0,400,400
tau,0.25,clean_train_noisy_test,0.9749800262120194,0.0017412424015173097,0.0,400,400
tau,0.25,noisy_train_noisy_test,0.9625767445152148,0.002212559672794991,0.0,400,400
n_s,0.5,clean_train_noisy_test,-1.407426907312622,0.02221083964071445,0.0,400,400
n_s,0.5,noisy_train_noisy_test,0.4988077679660531,0.010172587604976382,0.0,400,400
log_As,0.5,clean_train_noisy_test,0.8783933484782723,0.023721450026803374,0.0,400,400
log_As,0.5,noisy_train_noisy_test,0.9733651755968489,0.011177818901648666,0.0,400,400
omega_cdm,0.5,clean_train_noisy_test,0.9849239018879004,0.0008262687523103698,0.0,400,400
omega_cdm,0.5,noisy_train_noisy_test,0.998161698129745,0.00028434197268207043,0.0,400,400
tau,0.5,clean_train_noisy_test,0.902966702619681,0.003399009645372064,0.0,400,400
tau,0.5,noisy_train_noisy_test,0.9154177364299115,0.0032654758200836875,0.0,400,400
n_s,1.0,clean_train_noisy_test,-8.608444666577206,0.04427884306445549,0.0,400,400
n_s,1.0,noisy_train_noisy_test,0.3285216481370302,0.011721683198029157,0.0,400,400
log_As,1.0,clean_train_noisy_test,0.5140374637932341,0.04706851525273501,0.0,400,400
log_As,1.0,noisy_train_noisy_test,0.9128510207914511,0.02001288065486567,0.0,400,400
omega_cdm,1.0,clean_train_noisy_test,0.9537530995913821,0.0014208643220220709,0.0,400,400
omega_cdm,1.0,noisy_train_noisy_test,0.9952810231891102,0.00046244773629699684,0.0,400,400
tau,1.0,clean_train_noisy_test,0.6091156865241649,0.0068015868513366185,0.010000000000000009,396,400
tau,1.0,noisy_train_noisy_test,0.8377706384787392,0.0044301366720295565,0.0,400,400
n_s,2.0,clean_train_noisy_test,-37.96460184628958,0.08802193170007495,0.0,400,400
n_s,2.0,noisy_train_noisy_test,0.05114238723108122,0.014648922919347319,0.0,400,400
log_As,2.0,clean_train_noisy_test,-1.0225121116642044,0.09466155269093594,0.0,400,400
log_As,2.0,noisy_train_noisy_test,0.7867330981429995,0.03259043427555951,0.0,400,400
omega_cdm,2.0,clean_train_noisy_test,0.8194420801064369,0.0027257517163625407,0.0,400,400
omega_cdm,2.0,noisy_train_noisy_test,0.9876851497544673,0.0007451437137640865,0.0,400,400
tau,2.0,clean_train_noisy_test,-0.4319214169305423,0.013153460452575172,0.07250000000000001,371,400
tau,2.0,noisy_train_noisy_test,0.5817829644515836,0.006967093549914702,0.0,400,400
