parameter,fold,R2,MAE
n_s,0,0.9881562465947913,0.001460873173799397
n_s,1,0.9919723481492065,0.0012009932312353597
n_s,2,0.9939633258387418,0.0009921727473311854
n_s,3,0.9875108147404091,0.001555604738696405
n_s,4,0.9729014618539681,0.002262840319987679
log_As,0,0.9956814099873283,0.004696581730148287
log_As,1,0.9981262835073483,0.0028318981910339294
log_As,2,0.9985880095157795,0.002499087867773664
log_As,3,0.9989762062641319,0.0020768687683703478
log_As,4,0.996270795874775,0.004405182253711052
omega_cdm,0,0.9942912339613321,0.0005367330556639975
omega_cdm,1,0.9976293332646995,0.00034325341718750184
omega_cdm,2,0.9974355325678494,0.0003730442744227694
omega_cdm,3,0.9986514509105578,0.0002613369422571703
omega_cdm,4,0.9984621747997032,0.00027581797282245587
tau,0,0.9826764171981863,0.0014171410313981142
tau,1,0.9918927240375701,0.0009557481311840674
tau,2,0.9993416892739624,0.00030051470972645744
tau,3,0.9941565118516376,0.0008762636950171784
tau,4,0.9976596653627463,0.0005544882119151226
