parameter,seed,R2,MAE,equation
n_s,0,0.9943804905518563,0.0009532814730066124,sqrt(0.9405475 - ((-0.052410316 - (x2100 * -0.004865991)) * (x769 + (x2022 / -0.8583714))))
n_s,1,0.9958743742018061,0.0008704471501566768,((x2034 - (x766 * 0.8823548)) * ((x2084 * 0.0031775963) + -0.034514323)) + 0.9696256
n_s,2,0.983901261518649,0.0017823132226822077,(((x844 + ((x1573 - x2887) * -0.111965284)) - x96) * 0.05201752) + 0.9702125
n_s,3,0.992563967469823,0.0011941797499625075,sqrt(0.94117606 - (((x828 - x56) * (-0.08839748 - (x101 * -0.0086614555))) - (x1580 * -0.005791629)))
n_s,4,0.9965237374544468,0.0008106786547584829,((x1070 + x833) * 0.044773713) + ((x1584 * (((x1074 + x818) * -0.004072934) + -0.0027464514)) + 0.97027135)
n_s,5,0.9964270175837979,0.0007969811124373469,sqrt(0.94124514 - (0.008762364 * x2910)) + (((x2138 * -0.0031447574) + 0.03487546) * (x748 - x2036))
n_s,6,0.9921348250679471,0.0012244846956401634,(((x2031 - (((x2022 + 1.5029117) * 0.0368555) * x3)) - (x763 * 0.8376376)) * -0.03603929) - -0.9689776
n_s,7,0.9878314363298046,0.0014920962966841382,(x842 * 0.054004207) - ((x1587 * 0.00720381) + ((x80 * 0.04936347) + -0.9701983))
n_s,8,0.9942370717428153,0.00103324904987889,((0.034742218 - (x817 * 0.002734542)) * ((x776 + 1.4464729) - x2036)) + 0.9203289
n_s,9,0.9943470414022034,0.0010368726697238565,(x2042 * -0.036070812) + sqrt((((x1029 * x2) * 0.0026745487) + 0.9399117) - (x767 * -0.062898874))
log_As,0,0.9980636961655424,0.002992471404742788,log(((x1484 * 0.23045267) + ((x857 + x742) - -20.292439)) + (x1006 * 0.56796956)) + 0.042989336
log_As,1,0.9983287948524495,0.0028225233413881556,((x1578 * -0.010506857) + (((x1004 * 0.29489437) + x797) * ((x1107 * 0.0029363416) + 0.09440351))) - -3.0521014
log_As,2,0.9981754168737276,0.0029001194178343436,log((((x2952 + (x1004 + x1724)) * 0.08228341) + (x796 * 0.24647906)) + 2.9327667) + 1.9772865
log_As,3,0.9960653884575753,0.004314160436812502,sqrt(9.306872 - (((x1004 + (x793 + x803)) + x793) * -0.1713958))
log_As,4,0.9945570867230722,0.005055227191713569,(((x2002 * -0.31986356) - x791) * -0.08695521) + 3.0494862
log_As,5,0.9987111485466034,0.0023768396086473564,log(x813 + ((((x1004 * 0.59491885) + x781) + 21.184288) - (x1578 * 0.21740784)))
log_As,6,0.9980340617683008,0.0028557268371883758,-0.53637946 + log((x1005 - (x793 * -3.0379126)) + ((x405 - x2350) + 36.219547))
log_As,7,0.9969407319904053,0.003603977329060475,log((x793 + (x2001 / 3.109632)) - -11.64939) + 0.5977163
log_As,8,0.9965583915037052,0.004091876504681617,(0.07558253 * (((x247 * 0.19079374) + x784) + log(x2003 + 2.6822824))) + 2.9801304
log_As,9,0.9980964906709665,0.002880812724229732,sqrt((x780 * 0.14775997) + ((((x1000 + x987) + x1069) * 0.065886036) + 0.9774052)) + 2.0646486
omega_cdm,0,0.9987337693785602,0.00022890429856486287,(x1843 * (0.0092144655 - (0.0010291472 * x2729))) + (0.12415538 - (0.0011446467 * x1208))
omega_cdm,1,0.9980705214561456,0.00029612283088831904,((0.011654516 - (x2777 * 0.0015475238)) * (x1853 + (x1680 * 0.2792597))) + 0.12384033
omega_cdm,2,0.9979162154543888,0.00030015859530501955,((x2692 - x1847) * -0.007929367) + ((x649 * ((x1847 * -0.0008304682) + 0.007033622)) + 0.12460173)
omega_cdm,3,0.9974675994771833,0.00034641541291178054,(0.1248974 - (x2727 * 0.012977377)) - (((x1847 * 0.00082227134) - 0.009964967) * x692)
omega_cdm,4,0.9992220417979931,0.00018890295288398072,(((x1205 * -0.0012613009) + (x1837 * 0.009458984)) + 0.124096625) + (((x1837 * 0.0009782036) - 0.00029229434) * x1775)
omega_cdm,5,0.9983292885232942,0.0002823822671430491,((x750 * 0.008229993) + (0.12422686 - (x2737 * 0.011680233))) - ((x2397 + 0.7698452) * (x1611 * -0.0008491528))
omega_cdm,6,0.9971731196969317,0.0003626151468606844,(((x1850 + (x748 + 3.0072153)) - x2711) * (0.002343776 * sqrt(3.8289778 - x2721))) - -0.11062281
omega_cdm,7,0.9969846391389833,0.00037829823117085216,(0.12477677 - (((x1787 + x750) - (x2654 * (x1625 * -0.10538195))) * -0.007771596)) - (x2689 * 0.0034598948)
omega_cdm,8,0.9990936321047835,0.00019033636048126402,((x1857 + 9.627413) * ((x1749 * 0.0008230665) + 0.008636992)) + ((0.0062439516 * x646) - -0.041515667)
omega_cdm,9,0.9971579689699349,0.0003902519375908206,(((x1613 / -0.3671883) + x1922) * ((x663 * -0.00041226455) + 0.0043392004)) - -0.12464383
tau,0,0.9985228876585115,0.00044281524264212785,(x858 * 0.0017395042) + (((x27 * -0.0030104395) + 0.039654784) * sqrt(x2002 + 2.042188))
tau,1,0.9983269405765381,0.00046448677110323797,0.013468911 - ((x1366 * -0.0007315959) + (((x1018 * 0.0022066191) + -0.03560096) * sqrt(x2003 + 1.5366846)))
